Designator,Mid X,Mid Y,Rotation,Layer
BT1,15.0,6.0,0.0,bottom
C1,20.5,44.2,0.0,top
C2,26.0,44.2,180.0,top
C3,50.4,7.0,270.0,top
C5,31.0,44.2,180.0,top
C6,34.3,8.3,180.0,top
C7,34.3,6.2,180.0,top
C8,45.1,5.6,90.0,top
C9,23.5,2.2,0.0,top
D1,54.0,4.8,270.0,top
DISP1,35.0,30.0,0.0,bottom
J27,62.808,6.5675,180.0,top
M1,35.5,3.000001,0.0,top
M2,35.5,12.100001,0.0,top
Q1,54.0,11.0,180.0,top
R1,23.5,4.7,0.0,top
R2,23.5,7.2,0.0,top
R3,23.5,9.7,0.0,top
R4,14.0,50.4,0.0,top
R5,14.0,46.9,0.0,top
U1,36.1,27.5,90.0,top
U2,15.8,7.2,180.0,top
U4,20.0,48.0,270.0,top
